name,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PfSN01_060037900,-249.90965278993693,-251.66779064909915,-241.14592624919,-282.38270604893165,-279.3714657587422,-286.9755429420174,-263.0354765531001,-262.9666992101315,-271.2857329531173,-268.0344742562014,-256.8639318167868,-241.12578617781355,-252.57160426863808,-286.3925096471185,-261.6412479244613,-255.17338186400576,-244.1439489035064,-253.2730121067595,-275.98115423220423,-251.2985157583881,-290.489816187059,-251.66779064909915,-274.77895927621887,-274.82185611894295,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915,-251.66779064909915
PfSN01_100005200,-244.580867241099,-236.73702051696566,-249.36757812144356,-246.69531700106987,-277.81916183326945,-261.2790562714158,-244.02276900758187,-258.7772662705343,-248.51335191971367,-229.71889464053694,-250.02767278284583,-271.84639006667084,-251.14051203521123,-252.8561846491788,-249.83897257421526,-261.09222535427875,-266.704179208869,-264.9276725810033,-236.2978533138743,-242.63418090619635,-263.5350902266086,-236.73702051696566,-235.6749046876901,-224.90947254425387,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566,-236.73702051696566
PfSN01_080037600,-259.46536543218735,-276.38196091186865,-259.73672139004407,-301.1954081319784,-282.98705475521894,-266.71904885410487,-269.9953486740623,-282.7709812376771,-266.14992012147235,-305.3890972115291,-278.61906630872045,-280.7438008251015,-276.77136922240436,-322.6109410028804,-285.25193473895,-324.79283846474686,-283.87047766813504,-332.429091410473,-308.4281090973267,-254.9722896195768,-309.9365124644233,-276.38196091186865,-293.5855337803554,-296.8046551715254,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865,-276.38196091186865
PfSN01_130075700,-241.5559087683556,-238.09776206662056,-242.32807205264808,-240.33726171030017,-258.6162275651806,-257.0636902823013,-233.872788609921,-251.99571928800404,-251.92917603426022,-242.34439147618497,-240.85851063526616,-260.785655298443,-248.54206736062972,-261.8373732185949,-240.80586041089606,-254.64124402246543,-267.2414396812589,-275.2098379174577,-251.50718283727238,-227.4054698489597,-254.3490660180723,-238.09776206662056,-231.5660991293731,-244.55995147760092,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056,-238.09776206662056
PfSN01_120060800,-258.2661033752602,-263.6080335840554,-256.6508472994326,-287.03990482580224,-301.4059905341197,-255.86316457350335,-263.3920682708088,-294.11696556109723,-275.3080680690767,-272.7756006509258,-260.44740050222373,-290.25476572903324,-277.30221185811166,-293.21578466809217,-264.4228609853009,-300.069046809024,-296.6011571638131,-308.73936641488274,-275.6289891542067,-261.1433946115093,-304.4615033241467,-263.6080335840554,-270.67624601062766,-265.90814003295094,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554,-263.6080335840554
PfSN01_120046000,-241.97264584636704,-243.43083515449422,-233.84242976906734,-251.37226948288702,-263.93411612806347,-258.3445506058356,-237.66126027273916,-256.8741517382296,-254.81120610644928,-244.10773252208665,-239.10650403658983,-267.97836875517163,-251.28341899185932,-263.212093677724,-231.04140774815508,-252.77727430472484,-273.9545468792895,-285.71481254424526,-242.93066275781115,-232.0388837459951,-256.7623796601052,-243.43083515449422,-239.57301018540872,-229.74108309026536,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422,-243.43083515449422
PfSN01_030031500,-239.08341067767614,-233.7907404364857,-245.5730076590493,-242.13585969140544,-272.1612489741053,-256.43593867789787,-241.87853208093617,-259.018588882618,-244.57947863233173,-237.18410098962008,-243.16415226162746,-270.62905050548994,-249.69598106475365,-257.9302729008411,-243.65565884342675,-267.7521531432247,-263.57981994836274,-273.23355090131247,-238.9919964287392,-241.4950927257568,-267.8711600020831,-233.7907404364857,-232.77981198966955,-227.67256531299404,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857,-233.7907404364857
PfSN01_070036700,-230.0793894492901,-216.9009985088412,-239.51853277692817,-240.49509974573766,-261.55007067759703,-250.49913904963137,-234.56770136499327,-249.6721908309531,-240.04050457950103,-221.6172760841407,-237.9432720150343,-230.31351288073128,-231.58914513883303,-243.14918835484033,-235.1003908012776,-206.70637538926013,-220.84400811111828,-206.28070297939453,-228.85365244346588,-239.28376351748113,-247.09915150799662,-216.9009985088412,-220.92121540135904,-221.27604098371594,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412,-216.9009985088412
PF3D7_0617400,-249.04397560587077,-234.96025111437265,-254.6451846952824,-236.02410826481494,-279.5742051802301,-271.3565935709609,-240.9005542999179,-268.65139106893156,-254.63292775436875,-224.4002526048787,-247.8765824830712,-272.14234959434185,-248.5487954165071,-165.34011400661393,-255.34853753677157,-247.34252418524395,-270.15041485802664,-264.6287051185429,-228.19280755519384,-255.44814334526063,-247.55681170558725,-234.96025111437265,-238.59245574772194,-233.38010100099586,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265,-234.96025111437265
PF3D7_0808600,-258.5461343008661,-266.8487745407185,-259.37203861953543,-304.38425552105167,-305.15093683993797,-274.2796984830877,-273.64405186317396,-286.52480943161476,-273.24216829643257,-291.63619150668916,-278.71936209185867,-250.9921999490294,-263.24850606309195,-309.5780248788727,-278.86658876521693,-274.82358844012464,-253.65860469282708,-284.9589899350703,-293.08766096185263,-279.1493153611101,-311.836044366098,-266.8487745407185,-294.13031607651214,-295.9224531837231,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185,-266.8487745407185
